Test Number, ShadersTotal, FPS MIN, FPS MAX, FPS AVERAGE, GPU Usage
1, 25, 23, 352, 205.58, 7.083416
2, 100, 56, 373, 320.58, 3.195763
3, 225, 63, 329, 233.56, 3.599167
4, 400, 57, 309, 217.76, 3.789902
5, 625, 55, 266, 150.14, 7.537842
6, 900, 59, 237, 129.38, 8.140564
7, 1225, 36, 236, 112.34, 11.35635
8, 1600, 50, 193, 100.96, 11.85989
9, 2025, 46, 176, 84.98, 12.48169
10, 2500, 33, 191, 83.82, 14.16016
11, 3025, 39, 168, 73.4, 15.21301
12, 3600, 28, 163, 67.36, 15.86914
13, 4225, 33, 174, 66.46, 16.36505
14, 4900, 25, 156, 59.32, 19.50836
15, 5625, 27, 126, 49.96, 20.98083
